IndividualNum,FID,IID,PAT,MAT,SEX,PHENOTYPE,seed01,seed02,FeatureNum,SizeNum,OutliersFraction,Class_true,pred_lof,pred_KNN_lar,pred_IForest,pred_vote
22,BMX,BMX22,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
21,BMX,BMX21,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
20,BMX,BMX20,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
19,BMX,BMX19,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
18,BMX,BMX18,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
17,BMX,BMX17,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
16,BMX,BMX16,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
15,BMX,BMX15,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
14,BMX,BMX14,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
13,BMX,BMX13,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
12,BMX,BMX12,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
11,BMX,BMX11,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
10,BMX,BMX10,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
9,BMX,BMX9,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
8,BMX,BMX8,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
7,BMX,BMX7,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
6,BMX,BMX6,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
5,BMX,BMX5,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
4,BMX,BMX4,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
3,BMX,BMX3,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
23,BMX,BMX23,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
24,BMX,BMX24,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
25,BMX,BMX25,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
26,BMX,BMX26,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
2,BMX,BMX2,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
1,BMX,BMX1,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
29,CNEH,CNEH_3_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
46,CNEH,CNEH_28_J,0,0,2,21,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
45,CNEH,CNEH_27_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
44,CNEH,CNEH_26_J,0,0,2,21,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
43,CNEH,CNEH_21_J,0,0,2,21,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
42,CNEH,CNEH_16_J,0,0,2,21,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
41,CNEH,CNEH_15_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
40,CNEH,CNEH_14_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
39,CNEH,CNEH_13_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
38,CNEH,CNEH_12_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
27,CNEH,CNEH_1_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
36,CNEH,CNEH_10_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
35,CNEH,CNEH_9_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
34,CNEH,CNEH_8_J,0,0,2,21,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
33,CNEH,CNEH_7_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
32,CNEH,CNEH_6_J,0,0,2,21,6331,16331,2,4,0.15,-1,-1,-1,-1,-1
31,CNEH,CNEH_5_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
30,CNEH,CNEH_4_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
28,CNEH,CNEH_2_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
37,CNEH,CNEH_11_J,0,0,2,21,6331,16331,2,4,0.15,-1,1,1,1,1
55,DHB,DHB11,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
58,DHB,DHB14,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
71,DHB,DHB27,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
66,DHB,DHB22,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
62,DHB,DHB18,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
59,DHB,DHB15,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
97,DNXE,DNXE20,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
96,DNXE,DNXE19,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
95,DNXE,DNXE18,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
94,DNXE,DNXE17,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
93,DNXE,DNXE16,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
92,DNXE,DNXE15,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
91,DNXE,DNXE14,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
90,DNXE,DNXE13,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
89,DNXE,DNXE12,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
85,DNXE,DNXE8,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
87,DNXE,DNXE10,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
98,DNXE,DNXE21,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
84,DNXE,DNXE7,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
83,DNXE,DNXE6,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
82,DNXE,DNXE5,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
81,DNXE,DNXE4,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
80,DNXE,DNXE3,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
79,DNXE,DNXE2,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
78,DNXE,DNXE1,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
