TableNum,TestNum,TestLabel,TestID,Seed01,Seed02,TestScale,OutliersFraction,KFold,FeatureMethod,SizeNum,FeatureNum,AD_True,AD_LOF,AD_KNN_lar,AD_IForest,AD_Vote,KNN,RF,SVM,nnet,NB,C50,MLR,Stacking01,Stacking02,MetaModel01,MetaModel02,KNN_Time,NB_Time,RF_Time,SVM_Time,C50_Time,nnet_Time,MLR_Time,Stacking01_Time,Stacking02_Time
1,55,DHB,DHB11,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DHB,DHB,DHB,DHB,DUR,MGZ,DHB,PIT,GLGS,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,58,DHB,DHB14,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DHB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,59,DHB,DHB15,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DHB,DHB,DHB,DHB,DUR,MGZ,DHB,PIT,DHB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,62,DHB,DHB18,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,GLGS,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,66,DHB,DHB22,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DHB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,71,DHB,DHB27,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DHB,DHB,DHB,DHB,DUR,MGZ,DHB,PIT,DHB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,122,DUR,DUR1_17_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,127,DUR,DUR2_8_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,137,DUR,DUR2_31_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,142,DUR,DUR2_41_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
